stem,real_fg_lum,real_bg_lum,real_bg_r,real_bg_g,real_bg_b,gen_fg_lum,gen_bg_lum,gen_bg_r,gen_bg_g,gen_bg_b,auth_fg_lum,auth_bg_lum,auth_bg_r,auth_bg_g,auth_bg_b
3925,162.4235296603901,130.4439399858991,125.40832850579977,129.11537580664717,136.80811564525038,162.42338172826982,133.44606859139307,128.94716208387783,138.22731620569334,133.16372748460802,156.40091717914578,113.68055649112407,97.69990704191197,118.0366847643041,125.30507766715616
3928,187.7518307746603,117.45420194238933,99.61908893295706,118.25982953245367,134.4836873617573,187.76034497970704,136.54882350697886,135.78698230493478,136.7542330867211,137.10525512928075,176.40599082406916,135.32050377545573,129.91053314011137,136.20145297841506,139.84952520784074
3929,67.61700009481369,124.66807846980764,152.29276830093576,164.43811401768838,57.27335309079878,68.51518599285738,95.33490459633319,108.67921732434135,98.5483746762187,78.77712178843954,64.89722195885086,57.15766690780109,75.50567054815299,60.593459034373325,35.37387114087695
3930,113.20984917965963,165.20330573221221,206.4861603141406,168.19176021170344,120.93199667079261,113.23056150005095,141.54653065289457,153.6560779375987,140.09074224251995,130.89277177856502,92.9991592785081,58.56160812098965,79.17149686286227,59.436467625592215,37.07685987451449
3931,214.60693900391718,158.03660456999066,93.54638986971874,179.75154024108122,200.81188359917203,214.46491326245103,178.86759608750356,163.25952757822964,183.7064410081578,189.63681967612322,199.14349934713672,144.97899265392266,140.7794959211007,151.8148788506027,142.34260319006452
3932,88.64766741911211,113.0489885410665,120.51754049036553,120.78765764035593,97.84176749247807,88.2349510910459,89.89406354693467,80.64464502912746,109.7429902054926,79.29455540618399,79.1347504389265,60.89201502251243,78.17364445297996,46.31600089622943,58.18639971832789
3937,120.30754580236302,133.37845271710754,78.09837063348732,139.9840655338595,182.05292198397572,120.07050277258095,95.37772766730191,62.30516947207727,101.05065703481237,122.77735649501611,113.08651463821612,110.2009452254805,52.00433034333437,126.00844117617713,152.59006415693005
3939,112.60290649325864,113.78911692778922,117.51986938638814,124.01592899978021,99.83155239719935,112.48479271468108,99.35382543686136,116.59481522569571,107.06580916597767,74.40085191891072,109.91885812441208,93.63053511810693,90.60799171105924,100.75210624914965,89.53150739411193
3942,177.653073286052,136.05631292991725,130.76744591765527,128.33177150832418,149.06972136377232,177.59104938271605,106.63404280065133,112.28960223307746,106.6861230186422,100.92640315023428,168.34022852639873,158.79439570664275,163.1641910078756,156.0796156913568,157.13938042069583
3944,140.9260232350313,105.12830126623909,119.67756290083868,113.33968426245683,82.36765663542181,141.0153529937444,64.6606775201447,77.31524420325604,77.8495017266897,38.817286630488404,134.95526362823952,77.86773885874034,84.81611248149976,94.35758263443513,54.42952146028614
3946,70.66561375800649,196.94129185633722,157.66885920492948,206.90764687696554,226.24736948711663,70.59661899330233,97.5486285086831,89.79117938658678,105.13347121094208,97.7212349285204,60.01462373139131,79.31591029426919,66.26723025916016,86.48776691577028,85.19273370787715
3948,61.265012366703154,187.96725359947766,197.26454655883737,188.1146434082229,178.52257083137263,61.17057941045291,91.80824186446924,95.04430996180741,92.05790170608127,88.32251392551899,56.208166078741435,126.8963839248259,119.60059751146325,126.65996563761915,134.42858862539532
3949,70.7964025387323,164.61115933287235,157.1878540008533,165.71431303605843,170.93131096170538,70.60649649399961,83.84797885434904,87.9322672237506,86.34678475276948,77.264884586527,61.69161054294504,45.63183911258882,45.00916540391037,48.17355420534624,43.71279772850985
3951,114.45277257620998,149.20214349363025,176.64224023971093,151.97577920742634,118.98841103375341,114.40977107478447,107.14972141437288,136.5142328368732,117.46016568255926,67.47476572368615,112.10265364306562,104.32792808671896,120.14911430334008,113.29794953144737,79.53672042536941
3952,119.28155848893144,152.09044265272954,153.6862710730106,166.32730488543294,136.25775199974504,119.30966874130816,125.01608294294485,122.25964817234455,126.19568819911406,126.59291245737595,112.73718167931969,102.39957190052796,99.33807642053603,105.91409860097518,101.94654068007266
3953,113.32356115107913,197.96130562380566,193.43071253071253,202.68290335790337,197.770300982801,113.25812350119905,93.93945195195195,115.64228091728091,101.313319000819,64.86275593775594,93.8972721822542,65.31325757575758,92.3554873054873,64.68050778050778,38.90377764127764
3954,166.4009802762119,103.02099690382848,72.98018661566262,121.15002166263355,114.93278243318927,165.75138303044636,66.96009496334963,60.80580769921698,57.32834212167003,82.74613506916192,158.95584814917018,75.5593961232692,72.17408303657287,55.36815909883445,99.13594623440027
3956,179.48502068848748,118.76753798707696,94.82237849965621,114.13741691897565,147.342818542599,179.266897361821,58.144051338343324,50.389971170432204,56.602586217295325,67.43959662730245,171.98034858249468,115.74488043972126,113.37424156524047,113.89352360043908,119.96687615348428
3957,106.3002896684905,122.55593462982932,87.59073922582084,120.39669244784888,159.68037221581824,106.20933912670316,128.53370765626744,79.37737515338564,145.23227233852674,160.9914754768899,100.77368308121447,111.83453872754993,72.96810508310713,112.54896255531179,149.98654854423083
3958,90.81740033285999,160.14701130856218,160.32714054927303,160.53569957870062,159.57819379771294,90.75652359794175,61.40872902742141,49.58069625265292,78.96236814596598,55.68312268364535,84.27332692043424,42.82262662738763,34.27599860622763,57.05251987709462,37.139361398840634
3959,100.15457777281442,105.45137508040212,91.88150767452566,97.69105993672312,126.78155762995759,99.95808438959926,92.8291295674121,94.86437589993241,99.97651115181554,83.64650165048829,94.39536918123105,99.36771768977351,83.74835196050583,106.46492834823833,107.88987276057635
3961,118.26004112008805,78.45523540601988,77.32560798584183,83.5042653462984,74.53583288591939,118.2514261720673,84.99906208779917,76.91386784386248,94.27008888623755,83.81322953329754,114.62422899834941,104.64289738643971,116.49799160850286,102.39788025214261,95.03282029867367
3964,60.85973429678973,136.63470590037062,148.11924282490835,142.95313600767793,118.83173886852558,60.83847051296525,103.8041650075384,99.48149433854385,101.06861133516433,110.86238934890702,54.261751533626885,79.5187336852387,78.5026392901994,79.74004267788408,80.3135190876326
3965,137.3296383750929,75.21341297114493,76.79319494120672,78.40480865885873,70.44223531336934,137.44555949101402,138.2842415316642,119.97733595156275,132.66391986347804,162.21146877995184,130.28945297127115,100.92784284389586,95.16691212567501,104.32499941557379,103.29161699043878
3967,146.85423184917767,62.41127657278515,63.864422143088376,60.68774684363872,62.681660731628355,146.65475330926594,92.53757418797885,105.26906765943671,87.23983489802525,85.10382000647459,140.6174689129563,64.89525196935362,64.04949821948851,67.33865328585303,63.29760440271933
3968,193.38842253577025,115.68853349404225,128.21452406727454,142.71985312991754,76.13122328493466,193.2261911849338,105.97705805981197,105.62429829358392,125.79807595727821,86.50879992857382,185.86269373499235,83.99906625150199,85.98623930002344,89.81963773534368,76.19132171913887
3970,117.37937880243356,45.24119747103053,51.939161132052895,49.309507568958296,34.47492371208042,117.2616623210283,55.19799357785357,45.90292586609226,54.64287680248908,65.04817806497935,113.53287589771739,39.56340573206486,27.78481421647819,41.62109734936875,49.28430563034763
3973,119.6793233495661,113.15319934628292,111.92709307983083,111.1576531057799,116.37485185323803,119.64112140407407,108.49151872782996,121.9883977693776,106.90362663273326,96.58253178137905,117.97297792098422,105.13609125424686,107.13525955312699,112.96298514165949,95.31002906795413
3974,97.67332118721816,181.04830878600237,168.1075024050513,183.07347939785646,191.96394455509937,97.59373828998203,105.04387807180377,105.93165589474683,107.8732571846673,101.32672113599718,96.44660231809901,127.89780451562494,111.65214151186267,133.6190534260125,138.42221860899963
3976,147.29458068422647,81.40358225263076,79.17004643660817,121.52145579417007,43.51924452711403,147.24316998976397,129.41688454150898,134.51497808244125,143.9677415158886,109.76793402619701,138.01048109222495,72.00702836058394,56.31165858036655,85.08159575436726,74.62783074701804
3977,107.11136256482791,132.27567073449427,137.99746789158553,147.68653960418666,111.14300470771059,107.183812666981,92.03268583268584,101.598610539787,95.3337812514283,79.16566570684218,100.10815652993871,103.42738089796912,110.59445130033366,108.84071484071484,90.8469765528589
3981,147.59917887009496,186.93111272347713,191.8295400301682,180.26679777748078,188.69700036278235,147.62482183625332,136.32762746707908,135.98529776793387,125.84000343688543,147.157581196418,144.4417767182553,129.5397978602206,129.3219597884406,122.82463292154354,136.47280087067764
3982,163.86318175756767,121.42512807293564,128.8755388840988,152.1840783637479,83.21576697096026,163.60848113081744,113.19535233760884,108.59231473498014,127.02031981937938,103.97342245846704,155.2378094857092,165.28632634376584,142.60893680945057,172.71871361143457,180.53132861041234
3983,162.45128735292667,108.86466619123374,85.06987492457074,115.15420483844424,126.36991881068627,162.5207994880126,58.00298517015012,58.264454989302756,91.22700093257995,24.517499588567667,154.91941121449318,69.89918993545083,62.972173459871634,95.71538482637555,51.01001152010533
3984,59.5469293731314,143.6335112815404,143.15463636534523,146.61540630462977,141.13049117464615,59.38121844826741,113.49064832045715,125.62312261508674,112.39815598037558,102.45066636590913,55.12321717394501,91.81139683076749,86.5752081806049,92.89861651534804,95.96036579634955
3985,117.6244116724192,126.94979961484411,137.29879508666008,138.40350283662104,105.14710092125124,117.80203430603494,140.06768420687382,160.98494508926248,133.02510019257795,126.19300733878103,110.44158560819999,105.47709883932754,94.81450059855307,107.45388539010045,114.1629105293291
3986,110.88558132663614,43.554434451078706,52.609704481898575,47.48388884689996,30.56971002443756,111.1107910244415,42.33715852501281,67.72949890408889,38.157042803516994,21.124933867432546,108.3754780781668,36.575966375263484,42.63863905474517,38.270135792205174,28.819124278840096
3989,74.79878174685112,204.44028096587186,196.62953657174762,203.7199474739955,212.97135885187254,74.73690549934615,97.59710762316382,107.87436151953182,96.14981285025952,88.76714849970014,66.38474774588754,109.5456328280635,107.98071633889613,104.37815621316459,116.27802593212978
3990,74.43703926583422,150.25306810350676,105.2658511242274,145.43713646053152,200.05621672576135,74.61265733915049,91.22049282472624,82.66501344359581,90.28147997386264,100.7149850567202,61.23419086304599,112.34874794239786,103.44633809304467,116.78902659796685,116.81087913618202
3991,107.8402934537246,113.96190315820985,126.58439604849573,115.95037045352493,99.35094297260889,107.8291196388262,65.47251160005987,67.27865963179165,67.1135496183206,62.02532555006736,104.03675696012039,47.30568402933692,50.332341715312076,50.348462056578356,41.23624831612034
3992,110.92279411764706,159.37812676254936,168.37656514382402,153.62415397631133,156.13366116751268,111.14261982570807,68.93414410603496,71.03031937394248,72.26610617597292,63.50600676818951,106.53011982570807,92.72112591652568,84.44813874788494,98.96841159052454,94.74682741116752
3993,44.011393161803596,160.039962642127,152.21458499344524,158.37994499138884,169.52535794154693,44.062231266238996,82.090370065719,68.81164691669024,91.78189342724211,85.67756985322468,40.84348485893633,67.56521776383997,64.5034187594787,66.87444413027274,71.3177904017685
3994,118.79583333333333,153.15719696969697,168.16207519116398,185.14408453695836,106.16543118096857,118.78044662309367,116.57150948739735,118.71269116397622,118.6553844519966,112.34645284621921,111.65190631808281,93.16319385443217,99.79587935429056,107.38267841971113,72.31102378929482
3995,121.82828715448225,85.13895029671974,81.32897301398354,101.04387353329759,73.04400434287807,121.93162674749338,146.8282906240053,128.7401206064332,147.92023231781496,163.82451894776773,118.09777177434411,150.55842173880816,141.95619187149268,150.89168966735124,158.82738367758054
3996,171.84302267129144,115.71417775341739,135.7219841546664,128.62047187204146,82.80007723354427,171.65936510330266,122.44908399355558,127.73388061188898,123.54326324181574,116.07010812696198,165.70813854119538,111.37698689521152,125.09072450047337,107.2822138621755,101.7580223229857
