name,mae,contaminated
COD10K-CAM-1-Aquatic-14-ScorpionFish-867,0.47376773392063176,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-868,0.3220253647215904,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-869,0.08472888933416968,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-872,0.07935258633620886,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-873,0.21804032258064515,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-874,0.05681905567774383,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-879,0.08990566777248009,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-881,0.06652222676993974,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-883,0.012917554191940565,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-884,0.4315841339869282,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-889,0.18246632898354073,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-891,0.053258780063086736,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-892,0.12818787916197574,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-896,0.16298759838442423,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-897,0.06835453806359784,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-898,0.09146778156896321,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-899,0.1621945798786637,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-900,0.13844925624872345,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-901,0.1875954272700291,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-906,0.09809426464770175,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-907,0.06707242031114012,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-911,0.15458564122025092,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-915,0.3205482782102098,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-918,0.059521584967320254,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-919,0.18355295138888889,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-926,0.29596274382148696,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-928,0.2672394247616039,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-930,0.26972934000929577,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-934,0.13413335822610295,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-935,0.09197929432189543,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-936,0.29901408929630113,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-939,0.12111480812621273,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-940,0.2358215281216806,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-943,0.09491107845693911,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-945,0.17656703975171686,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-950,0.126465962368659,0
COD10K-CAM-1-Aquatic-14-ScorpionFish-954,0.5185880722306074,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1002,0.16369214305561722,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1003,0.08349120363337702,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1004,0.028985476728264622,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1006,0.03297660747257521,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1010,0.060881229159919274,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1012,0.031200012423575077,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1013,0.06297407068321477,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1014,0.09955355862273386,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1015,0.01694317884826232,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1022,0.014451893326503778,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1023,0.16380443811495773,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1032,0.09965819315193525,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1035,0.1402008609113988,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1043,0.02238951411915425,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1044,0.04137203978506613,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1047,0.027801871826874616,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1048,0.029381433563008534,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1052,0.01584099683677114,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1057,0.05533953739447197,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1063,0.03900521490522352,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1066,0.0668173073127494,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1067,0.046454489097981805,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1069,0.06375098855901547,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1070,0.05253768565931699,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1071,0.1267757567493958,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1074,0.033475117558705726,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1076,0.0904819748999221,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1078,0.11147607633739769,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1083,0.04555722937971884,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1085,0.1250901894322544,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1086,0.07093678693931699,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1088,0.019929143161124305,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1092,0.030864056937745816,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1096,0.12636542559189476,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1099,0.04724585432635719,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1105,0.1709673414043352,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1109,0.0762959379395975,0
COD10K-CAM-1-Aquatic-15-SeaHorse-1110,0.29387232834688637,0
COD10K-CAM-1-Aquatic-15-SeaHorse-962,0.10823532303953481,0
COD10K-CAM-1-Aquatic-15-SeaHorse-963,0.13130957908879695,0
COD10K-CAM-1-Aquatic-15-SeaHorse-966,0.07194466835507995,0
COD10K-CAM-1-Aquatic-15-SeaHorse-972,0.2730859958139552,0
COD10K-CAM-1-Aquatic-15-SeaHorse-977,0.09847273058597211,0
