tag,B,alpha,repr,order,n_draws_paired,d_heldout,jaccard_vs_primary,d_order_spread,ORDER_SENSITIVE
dinoL518,250,10.0,R2_cut,shuffled_4,5,0.642563,0.818182,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_5,5,0.670196,0.838235,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_6,5,0.706837,0.865672,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_7,5,0.740814,0.865672,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_8,5,0.723154,0.831502,0.080211,1
dinoL518,250,10.0,R2_cut,shuffled_9,5,0.69879,0.865672,0.080211,1
dinoL518,250,10.0,R3_render,asc_index,5,0.65331,0.915709,0.160901,1
dinoL518,250,10.0,R3_render,asc_nc,5,0.699506,0.886792,0.160901,1
dinoL518,250,10.0,R3_render,desc_es,5,0.608194,0.865672,0.160901,1
dinoL518,250,10.0,R3_render,desc_nc,5,0.538605,1.0,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_0,5,0.566392,0.851852,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_1,5,0.573154,0.845018,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_2,5,0.601478,0.851852,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_3,5,0.62582,0.845018,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_4,5,0.57973,0.818182,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_5,5,0.50139,0.838235,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_6,5,0.631888,0.865672,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_7,5,0.62691,0.865672,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_8,5,0.597244,0.831502,0.160901,1
dinoL518,250,10.0,R3_render,shuffled_9,5,0.523457,0.865672,0.160901,1
dinoL518,250,20.0,R2_cut,asc_index,5,0.720526,0.930502,0.100171,1
dinoL518,250,20.0,R2_cut,asc_nc,5,0.742935,0.893939,0.100171,1
dinoL518,250,20.0,R2_cut,desc_es,5,0.655602,0.872659,0.100171,1
dinoL518,250,20.0,R2_cut,desc_nc,5,0.688106,1.0,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_0,5,0.664305,0.858736,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_1,5,0.587935,0.845018,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_2,5,0.653787,0.845018,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_3,5,0.739384,0.831502,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_4,5,0.640272,0.845018,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_5,5,0.663142,0.838235,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_6,5,0.674001,0.879699,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_7,5,0.74194,0.872659,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_8,5,0.712755,0.824818,0.100171,1
dinoL518,250,20.0,R2_cut,shuffled_9,5,0.646636,0.851852,0.100171,1
dinoL518,250,20.0,R3_render,asc_index,5,0.63809,0.930502,0.110725,1
dinoL518,250,20.0,R3_render,asc_nc,5,0.690492,0.893939,0.110725,1
dinoL518,250,20.0,R3_render,desc_es,5,0.577223,0.872659,0.110725,1
dinoL518,250,20.0,R3_render,desc_nc,5,0.579767,1.0,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_0,5,0.567696,0.858736,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_1,5,0.537809,0.845018,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_2,5,0.578012,0.845018,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_3,5,0.609641,0.831502,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_4,5,0.583054,0.845018,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_5,5,0.493772,0.838235,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_6,5,0.599234,0.879699,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_7,5,0.665336,0.872659,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_8,5,0.552381,0.824818,0.110725,1
dinoL518,250,20.0,R3_render,shuffled_9,5,0.494821,0.851852,0.110725,1
dinoL518,250,40.0,R2_cut,asc_index,5,0.720526,0.930502,0.100171,1
dinoL518,250,40.0,R2_cut,asc_nc,5,0.742935,0.893939,0.100171,1
dinoL518,250,40.0,R2_cut,desc_es,5,0.655602,0.872659,0.100171,1
dinoL518,250,40.0,R2_cut,desc_nc,5,0.688106,1.0,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_0,5,0.664305,0.858736,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_1,5,0.587935,0.845018,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_2,5,0.653787,0.845018,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_3,5,0.739384,0.831502,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_4,5,0.640272,0.845018,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_5,5,0.663142,0.838235,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_6,5,0.674001,0.879699,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_7,5,0.74194,0.872659,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_8,5,0.712755,0.824818,0.100171,1
dinoL518,250,40.0,R2_cut,shuffled_9,5,0.646636,0.851852,0.100171,1
dinoL518,250,40.0,R3_render,asc_index,5,0.63809,0.930502,0.110725,1
dinoL518,250,40.0,R3_render,asc_nc,5,0.690492,0.893939,0.110725,1
dinoL518,250,40.0,R3_render,desc_es,5,0.577223,0.872659,0.110725,1
dinoL518,250,40.0,R3_render,desc_nc,5,0.579767,1.0,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_0,5,0.567696,0.858736,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_1,5,0.537809,0.845018,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_2,5,0.578012,0.845018,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_3,5,0.609641,0.831502,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_4,5,0.583054,0.845018,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_5,5,0.493772,0.838235,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_6,5,0.599234,0.879699,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_7,5,0.665336,0.872659,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_8,5,0.552381,0.824818,0.110725,1
dinoL518,250,40.0,R3_render,shuffled_9,5,0.494821,0.851852,0.110725,1
dinoL518,500,0.02,R2_cut,asc_index,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,asc_nc,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,desc_es,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,desc_nc,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_0,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_1,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_2,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_3,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_4,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_5,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_6,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_7,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_8,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R2_cut,shuffled_9,5,0.939448,1.0,0.0,0
dinoL518,500,0.02,R3_render,asc_index,5,0.790053,1.0,0.0,0
