tag,B,alpha,repr,k,clusters_funded,max_alloc_share,alloc_entropy_norm,tv_from_uniform,n_displaced,degenerate,norm_dmean,d_insample,d_heldout,d_heldout_sd,d_heldout_min,d_heldout_max,ci_lo,ci_hi,band_lo,band_hi,ci_straddles_band,d_order_spread,ORDER_SENSITIVE
dinoL518,3000,0.5,R2_cut,75,57,0.509,0.36203,0.85906,2140,0,0.036366,0.435036,0.206846,0.028837,0.150846,0.265263,0.116588,0.298029,CONFIRMED,AMBIGUOUS,1,0.019465,0
dinoL518,3000,0.5,R3_render,75,57,0.509,0.36203,0.85906,2140,0,0.034566,0.34092,0.158377,0.030585,0.110628,0.224606,0.065885,0.251115,CONFIRMED,AMBIGUOUS,1,0.015832,0
dinoL518,3000,1.0,R2_cut,75,75,0.194,0.78644,0.49253,3977,0,0.032976,0.417781,0.151699,0.029938,0.082295,0.195375,0.055482,0.238125,CONFIRMED,AMBIGUOUS,1,0.024253,0
dinoL518,3000,1.0,R3_render,75,75,0.194,0.78644,0.49253,3977,0,0.031097,0.372299,0.115694,0.03502,0.0161,0.159214,0.00519,0.204644,CONFIRMED,AMBIGUOUS,1,0.031653,0
dinoL518,3000,2.0,R2_cut,75,75,0.06267,0.95839,0.21106,4293,0,0.032002,0.39646,0.129684,0.02022,0.099311,0.160947,0.047987,0.209418,CONFIRMED,AMBIGUOUS,1,0.030932,0
dinoL518,3000,2.0,R3_render,75,75,0.06267,0.95839,0.21106,4293,0,0.03086,0.374175,0.104757,0.028947,0.052821,0.158709,0.01474,0.196587,CONFIRMED,CONFIRMED,0,0.0398,0
dinoL518,3000,5.0,R2_cut,75,75,0.02567,0.99466,0.07567,4202,0,0.032211,0.396349,0.126372,0.025268,0.080212,0.178466,0.040567,0.212657,CONFIRMED,AMBIGUOUS,1,0.029317,0
dinoL518,3000,5.0,R3_render,75,75,0.02567,0.99466,0.07567,4202,0,0.030775,0.367855,0.099525,0.027407,0.057262,0.150494,0.009375,0.188708,CONFIRMED,CONFIRMED,0,0.034554,0
dinoL518,3000,10.0,R2_cut,75,75,0.01867,0.99876,0.03672,4157,0,0.032453,0.397765,0.126301,0.029285,0.04409,0.175728,0.030811,0.216363,CONFIRMED,AMBIGUOUS,1,0.049845,0
dinoL518,3000,10.0,R3_render,75,75,0.01867,0.99876,0.03672,4157,0,0.031074,0.368136,0.105296,0.02845,0.037068,0.149327,0.01184,0.193228,CONFIRMED,CONFIRMED,0,0.031433,0
dinoL518,3000,20.0,R2_cut,75,75,0.01567,0.9997,0.01815,4177,0,0.032545,0.397419,0.125038,0.024152,0.094043,0.174535,0.041131,0.211001,CONFIRMED,AMBIGUOUS,1,0.034865,0
dinoL518,3000,20.0,R3_render,75,75,0.01567,0.9997,0.01815,4177,0,0.031336,0.364966,0.099089,0.031571,0.038218,0.160391,0.004682,0.195117,CONFIRMED,CONFIRMED,0,0.032612,0
dinoL518,3000,40.0,R2_cut,75,75,0.01467,0.99993,0.00903,4075,0,0.032317,0.393933,0.127898,0.026158,0.054655,0.192769,0.037643,0.215438,CONFIRMED,AMBIGUOUS,1,0.048425,0
dinoL518,3000,40.0,R3_render,75,75,0.01467,0.99993,0.00903,4075,0,0.030782,0.359064,0.098971,0.028276,0.049712,0.15477,0.009228,0.189762,CONFIRMED,CONFIRMED,0,0.037732,0
dinoL518,4447,0.02,R2_cut,75,1,1.0,0.0,0.98667,0,1,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.02,R3_render,75,1,1.0,0.0,0.98667,0,1,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.05,R2_cut,75,2,0.9982,0.00292,0.98495,3469,1,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.05,R3_render,75,2,0.9982,0.00292,0.98495,3469,1,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.1,R2_cut,75,2,0.9602,0.03894,0.97325,4210,1,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.1,R3_render,75,2,0.9602,0.03894,0.97325,4210,1,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.2,R2_cut,75,4,0.82213,0.11979,0.9626,10831,0,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.2,R3_render,75,4,0.82213,0.11979,0.9626,10831,0,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.5,R2_cut,75,62,0.50888,0.36203,0.85906,51165,0,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,0.5,R3_render,75,62,0.50888,0.36203,0.85906,51165,0,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,1.0,R2_cut,75,75,0.19406,0.78644,0.49253,40124,0,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,1.0,R3_render,75,75,0.19406,0.78644,0.49253,40124,0,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,2.0,R2_cut,75,75,0.06274,0.95839,0.21106,31373,0,0.0,0.0,-0.347283,0.016539,-0.384187,-0.31845,-0.415826,-0.280234,AMBIGUOUS,AMBIGUOUS,0,0.0,0
dinoL518,4447,2.0,R3_render,75,75,0.06274,0.95839,0.21106,31373,0,0.0,0.0,-0.332426,0.030312,-0.381257,-0.26188,-0.412445,-0.241989,AMBIGUOUS,AMBIGUOUS,0,0.0,0
