tag,B,alpha,repr,d_heldout,ci_draws_lo,ci_draws_hi,ci_boot_lo,ci_boot_hi,ci_combined_lo,ci_combined_hi,band_lo,band_hi,ci_straddles_band
dinoL224,250,5.0,R2_cut,1.188437,0.901185,1.44293,0.766332,1.620402,0.766332,1.620402,REOPENS,REOPENS,0
dinoL224,250,5.0,R3_render,1.014215,0.774302,1.248447,0.633133,1.442655,0.633133,1.442655,REOPENS,REOPENS,0
dinoL224,250,10.0,R2_cut,1.17455,0.905769,1.403906,0.759474,1.586502,0.759474,1.586502,REOPENS,REOPENS,0
dinoL224,250,10.0,R3_render,1.018503,0.798271,1.284512,0.652293,1.43945,0.652293,1.43945,REOPENS,REOPENS,0
dinoL224,250,20.0,R2_cut,1.17328,0.927989,1.442151,0.788874,1.603583,0.788874,1.603583,REOPENS,REOPENS,0
dinoL224,250,20.0,R3_render,0.982436,0.775165,1.206585,0.622797,1.372464,0.622797,1.372464,REOPENS,REOPENS,0
dinoL224,250,40.0,R2_cut,1.166615,0.957805,1.360667,0.801463,1.556761,0.801463,1.556761,REOPENS,REOPENS,0
dinoL224,250,40.0,R3_render,0.997378,0.806716,1.231231,0.644652,1.401728,0.644652,1.401728,REOPENS,REOPENS,0
dinoL224,500,0.02,R2_cut,1.290956,1.112849,1.442542,1.016216,1.573748,1.016216,1.573748,REOPENS,REOPENS,0
dinoL224,500,0.02,R3_render,1.053927,0.915471,1.248255,0.812724,1.353464,0.812724,1.353464,REOPENS,REOPENS,0
dinoL224,500,0.05,R2_cut,1.290956,1.112849,1.442542,1.016216,1.573748,1.016216,1.573748,REOPENS,REOPENS,0
dinoL224,500,0.05,R3_render,1.053927,0.915471,1.248255,0.812724,1.353464,0.812724,1.353464,REOPENS,REOPENS,0
dinoL224,500,0.1,R2_cut,1.290956,1.112849,1.442542,1.016216,1.573748,1.016216,1.573748,REOPENS,REOPENS,0
dinoL224,500,0.1,R3_render,1.053927,0.915471,1.248255,0.812724,1.353464,0.812724,1.353464,REOPENS,REOPENS,0
dinoL224,500,0.2,R2_cut,1.273611,1.100072,1.409615,1.004169,1.542462,1.004169,1.542462,REOPENS,REOPENS,0
dinoL224,500,0.2,R3_render,1.048414,0.891642,1.164532,0.798627,1.288275,0.798627,1.288275,REOPENS,REOPENS,0
dinoL224,500,0.5,R2_cut,0.89832,0.742651,1.048661,0.65472,1.134653,0.65472,1.134653,REOPENS,REOPENS,0
dinoL224,500,0.5,R3_render,0.816362,0.670415,0.947749,0.57587,1.043819,0.57587,1.043819,REOPENS,REOPENS,0
dinoL224,500,1.0,R2_cut,0.837436,0.619228,1.028311,0.550557,1.102102,0.550557,1.102102,REOPENS,REOPENS,0
dinoL224,500,1.0,R3_render,0.754111,0.569894,0.965534,0.487795,1.036272,0.487795,1.036272,AMBIGUOUS,REOPENS,1
dinoL224,500,2.0,R2_cut,0.977766,0.8314,1.173942,0.717765,1.272856,0.717765,1.272856,REOPENS,REOPENS,0
dinoL224,500,2.0,R3_render,0.849193,0.646646,1.065635,0.572219,1.16626,0.572219,1.16626,REOPENS,REOPENS,0
dinoL224,500,5.0,R2_cut,0.980272,0.834002,1.155995,0.729479,1.257,0.729479,1.257,REOPENS,REOPENS,0
dinoL224,500,5.0,R3_render,0.878374,0.71972,1.020789,0.613921,1.148576,0.613921,1.148576,REOPENS,REOPENS,0
dinoL224,500,10.0,R2_cut,0.98265,0.827894,1.135313,0.734504,1.234582,0.734504,1.234582,REOPENS,REOPENS,0
dinoL224,500,10.0,R3_render,0.843154,0.675681,1.043555,0.580866,1.130506,0.580866,1.130506,REOPENS,REOPENS,0
dinoL224,500,20.0,R2_cut,0.996602,0.836322,1.153798,0.735877,1.266669,0.735877,1.266669,REOPENS,REOPENS,0
dinoL224,500,20.0,R3_render,0.838867,0.695688,1.073578,0.581581,1.165914,0.581581,1.165914,REOPENS,REOPENS,0
dinoL224,500,40.0,R2_cut,0.979727,0.831807,1.185632,0.710681,1.272248,0.710681,1.272248,REOPENS,REOPENS,0
dinoL224,500,40.0,R3_render,0.862642,0.701258,1.061075,0.595774,1.155772,0.595774,1.155772,REOPENS,REOPENS,0
dinoL224,1000,0.02,R2_cut,1.024251,0.93319,1.102911,0.857925,1.195878,0.857925,1.195878,REOPENS,REOPENS,0
dinoL224,1000,0.02,R3_render,0.812174,0.747426,0.900003,0.655339,0.978033,0.655339,0.978033,REOPENS,REOPENS,0
dinoL224,1000,0.05,R2_cut,1.024251,0.93319,1.102911,0.857925,1.195878,0.857925,1.195878,REOPENS,REOPENS,0
dinoL224,1000,0.05,R3_render,0.812174,0.747426,0.900003,0.655339,0.978033,0.655339,0.978033,REOPENS,REOPENS,0
dinoL224,1000,0.1,R2_cut,1.024251,0.93319,1.102911,0.857925,1.195878,0.857925,1.195878,REOPENS,REOPENS,0
dinoL224,1000,0.1,R3_render,0.812174,0.747426,0.900003,0.655339,0.978033,0.655339,0.978033,REOPENS,REOPENS,0
dinoL224,1000,0.2,R2_cut,1.016959,0.919093,1.12427,0.837192,1.208804,0.837192,1.208804,REOPENS,REOPENS,0
dinoL224,1000,0.2,R3_render,0.814531,0.722818,0.884058,0.647326,0.980439,0.647326,0.980439,REOPENS,REOPENS,0
dinoL224,1000,0.5,R2_cut,0.829806,0.739626,0.941397,0.659374,1.017554,0.659374,1.017554,REOPENS,REOPENS,0
dinoL224,1000,0.5,R3_render,0.694747,0.57229,0.817129,0.513377,0.885229,0.513377,0.885229,REOPENS,REOPENS,0
dinoL224,1000,1.0,R2_cut,0.779979,0.631913,0.921896,0.576402,0.992962,0.576402,0.992962,REOPENS,REOPENS,0
dinoL224,1000,1.0,R3_render,0.692966,0.56715,0.842394,0.49814,0.897777,0.49814,0.897777,AMBIGUOUS,REOPENS,1
dinoL224,1000,2.0,R2_cut,0.796459,0.648309,0.892977,0.584327,0.976395,0.584327,0.976395,REOPENS,REOPENS,0
dinoL224,1000,2.0,R3_render,0.690445,0.550318,0.782935,0.495171,0.86194,0.495171,0.86194,AMBIGUOUS,REOPENS,1
